title,org_name,url
Responsable de secteur dans les services à la personne (H/F),Petits-fils,https://jobs.makesense.org/fr/jobs/petits-fils-responsable-de-secteur-dans-les-services-a-la-personne-hf-05Kt3rgyVCU3lA5kh4ky
ASSISTANT.E RESSOURCES HUMAINES  H/F - STAGE,EMMAUS DEFI ,https://jobs.makesense.org/fr/jobs/emmaus-defi-assistante-ressources-humaines-hf-stage-0LXpTcYJLTbtii26LSqJ
PSYCHOLOGUE PF LE NOUZET 60%,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-psychologue-pf-le-nouzet-60pourcent-0Nbf8jeJfEnjIhTiAF4v
Référent.e Homère,Médecins sans Frontières France,https://jobs.makesense.org/fr/jobs/medecins-sans-frontieres-france-referente-homere-0P3Vg4PTKboClc00bqza
SECRETAIRE MEDICAL (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-secretaire-medical-hfx-0PA5FI1oW2xi2xGInn2e
RESPONSABLE D'ACCOMPAGNEMENT SOCIAL ET PROFESSIONNEL - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-responsable-daccompagnement-social-et-professionnel-hf-0T2Hu1b6ZUU0TR9ouKvf
CDI - Journaliste Vidéo & Documentariste x Tolt (Formats YouTube/Réseaux),HOURRAIL !,https://jobs.makesense.org/fr/jobs/hourrail-cdi-journaliste-video-et-documentariste-x-tolt-formats-youtubereseaux-0Wr4vV3oNekMvljrLDyv
Travailleur Social Pôle Enfance et Parentalité de la PASH 94 H/F/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-travailleur-social-pole-enfance-et-parentalite-de-la-pash-94-hfx-0Yeq8izYUZvlYewNn0ef
Alternance - assistant comptabilité et administratif (H/F),2tonnes,https://jobs.makesense.org/fr/jobs/2tonnes-alternance-assistant-comptabilite-et-administratif-hf-0fDPyw9C8hSbaatkz6RG
Ouvrier Maraîcher (F/H),Les Fermes Debout,https://jobs.makesense.org/fr/jobs/les-fermes-debout-ouvrier-maraicher-fh-0mZzbOgMFnMoq9fDOMFt
Stagiaire Afrique 1,Première Urgence Internationale,https://jobs.makesense.org/fr/jobs/premiere-urgence-internationale-stagiaire-afrique-1-0n8pFxLdddZBVvRhwCCu
